LoggerBefore,DeviceTime,Light,Setpoint,Intensity,LoggerAfter
1589810485.271630287,1589803285.694602013,0,0,0,1589810485.271630287
1589810485.271630287,1589803285.702825069,0,0,0,1589810485.271630287
1589810485.271630287,1589803285.711818933,0,0,0,1589810485.271630287
1589810485.271630287,1589803285.719919920,0,0,0,1589810485.272535086
1589810485.272535086,1589803285.727919102,0,0,0,1589810485.272535086
1589810485.272535086,1589803285.735887051,0,0,0,1589810485.272535086
1589810485.272535086,1589803285.743911982,0,0,0,1589810485.272535086
1589810485.344677925,1589803285.752547026,0,0,0,1589810485.344677925
1589810485.428011417,1589803285.762085915,0,0,0,1589810485.428011417
1589810485.428011417,1589803285.770476103,0,0,0,1589810485.428011417
1589810485.428011417,1589803285.778619051,0,0,0,1589810485.428011417
1589810485.428011417,1589803285.786803961,0,0,0,1589810485.428011417
1589810485.428011417,1589803285.795871019,0,0,0,1589810485.428011417
1589810485.428011417,1589803285.804018974,0,0,0,1589810485.428011417
1589810485.428011417,1589803285.812063932,0,0,0,1589810485.428011417
1589810485.428011417,1589803285.820138931,0,0,0,1589810485.428011417
1589810485.428011417,1589803285.828233004,0,0,0,1589810485.428011417
1589810485.434950590,1589803285.836266994,0,0,0,1589810485.434950590
1589810485.434950590,1589803285.845662117,0,0,0,1589810485.434950590
1589810485.434950590,1589803285.854245901,0,0,0,1589810485.434950590
1589810485.434950590,1589803285.863147020,0,0,0,1589810485.434950590
1589810485.434950590,1589803285.871274948,0,0,0,1589810485.434950590
1589810485.434950590,1589803285.879281998,0,0,0,1589810485.434950590
1589810485.434950590,1589803285.887326956,0,0,0,1589810485.434950590
1589810485.434950590,1589803285.895327091,0,0,0,1589810485.434950590
1589810485.434950590,1589803285.903283119,0,0,0,1589810485.434950590
1589810485.476004362,1589803285.911134005,0,0,0,1589810485.476004362
1589810485.511799574,1589803285.919131994,0,0,0,1589810485.511799574
1589810485.511799574,1589803285.928468943,0,0,0,1589810485.511799574
1589810485.511799574,1589803285.936846018,0,0,0,1589810485.511799574
1589810485.511799574,1589803285.945828915,0,0,0,1589810485.511799574
