Before,After,Value
1589813164.531374931,1589813164.630532503,0
1589813169.630876303,1589813169.730708599,100
1589813174.731640577,1589813174.830688715,0
1589813179.831260443,1589813179.934511662,100
1589813184.935001135,1589813185.035218716,0
1589813190.035718441,1589813190.135343075,100
1589813195.135785103,1589813195.235014200,0
1589813200.235538006,1589813200.339137316,100
1589813205.339438438,1589813205.434992552,0
1589813210.435188532,1589813210.526963234,100
1589813215.527782917,1589813215.627124786,0
1589813220.627619505,1589813220.735748768,100
1589813225.735835552,1589813225.830310345,0
1589813230.831051826,1589813230.924076557,100
1589813235.924820662,1589813236.019755125,0
1589813241.019823074,1589813241.126333952,100
1589813246.127319574,1589813246.218272209,0
1589813251.218594313,1589813251.318695068,100
1589813256.319186926,1589813256.414366484,0
1589813261.415329456,1589813261.513789415,100
1589813266.513903856,1589813266.614979982,0
1589813271.616027832,1589813271.726971388,100
1589813276.727079630,1589813276.822179794,0
1589813281.822543621,1589813281.922756672,100
1589813286.922837973,1589813287.023844719,0
1589813292.024335384,1589813292.129164457,100
1589813297.129674911,1589813297.225623608,0
1589813302.226418257,1589813302.328524351,100
1589813307.329117298,1589813307.433246613,0
1589813312.434041023,1589813312.540616989,100
1589813317.541439056,1589813317.641766310,0
1589813322.642265081,1589813322.743278027,100
1589813327.744861603,1589813327.854603291,0
1589813332.855128765,1589813332.951206684,100
1589813337.951583862,1589813338.051650763,0
1589813343.052030802,1589813343.157060385,100
1589813348.157122135,1589813348.255698919,0
1589813353.256341696,1589813353.351025343,100
1589813358.351460457,1589813358.453908443,0
1589813363.454034805,1589813363.556406736,100
1589813368.556834221,1589813368.654668808,0
1589813373.655270576,1589813373.764053106,100
1589813378.764236689,1589813378.866861105,0
1589813383.867625475,1589813383.970569611,100
1589813388.971278667,1589813389.079639912,0
1589813394.080135584,1589813394.181691170,100
1589813399.182205677,1589813399.276109219,0
1589813404.277065992,1589813404.375021458,100
1589813409.375385523,1589813409.480656624,0
1589813414.481337547,1589813414.588121176,100
1589813419.588247299,1589813419.685675859,0
1589813424.686185122,1589813424.784390926,100
1589813429.784889698,1589813429.880123615,0
1589813434.880444527,1589813434.979965448,100
1589813439.980857611,1589813440.078411818,0
1589813445.078539848,1589813445.169169664,100
1589813450.169609070,1589813450.264333248,0
1589813455.264902592,1589813455.365002871,100
1589813460.365050077,1589813460.460465908,0
1589813465.460630894,1589813465.558441639,100
1589813470.558941603,1589813470.664038420,0
1589813475.664874792,1589813475.765599251,100
1589813480.765616179,1589813480.867528200,0
