CommandTime,DeviceTime,ValueChanged,Value,LightChanged
1589825980.7605612,1589818781.797622,1589818781.797622,100.0,1589818782.3559988
1589825985.85856,1589818786.891545,1589818786.891545,0.0,1589818787.431954
1589825990.956901,1589818791.9920123,1589818791.9920123,100.0,1589818792.507952
1589825996.0480306,1589818797.076419,1589818797.076419,0.0,1589818797.590382
1589826001.134653,1589818802.1700509,1589818802.1700509,100.0,1589818802.671347
1589826006.229652,1589818807.2615502,1589818807.2615502,0.0,1589818807.743078
1589826011.3226528,1589818812.360453,1589818812.360453,100.0,1589818812.824178
1589826016.4236531,1589818817.471298,1589818817.471298,0.0,1589818817.902997
1589826021.5276532,1589818822.565451,1589818822.565451,100.0,1589818822.98329
1589826026.627652,1589818827.65896,1589818827.65896,0.0,1589818828.055309
1589826031.7356522,1589818832.772006,1589818832.772006,100.0,1589818833.131101
1589826036.82385,1589818837.854624,1589818837.854624,0.0,1589818838.2089882
1589826041.9268327,1589818842.961401,1589818842.961401,100.0,1589818843.282639
1589826047.0271652,1589818848.056719,1589818848.056719,0.0,1589818848.360871
1589826052.1304524,1589818853.1695948,1589818853.1695948,100.0,1589818853.438979
1589826057.2296796,1589818858.269883,1589818858.269883,0.0,1589818858.523819
1589826062.3360045,1589818863.380067,1589818863.380067,100.0,1589818863.599544
1589826067.4410043,1589818868.4800467,1589818868.4800467,0.0,1589818868.67217
1589826072.5530007,1589818873.6180668,1589818873.6180668,100.0,1589818873.7530687
1589826077.6600022,1589818878.704102,1589818878.704102,0.0,1589818878.830111
1589826082.7645788,1589818883.800905,1589818883.800905,100.0,1589818883.909495
1589826087.869603,1589818888.9099967,1589818888.9099967,0.0,1589818888.985451
1589826092.9655783,1589818894.004748,1589818894.004748,100.0,1589818894.572854
1589826098.0706098,1589818899.108635,1589818899.108635,0.0,1589818899.6508782
1589826103.1566074,1589818904.210287,1589818904.210287,100.0,1589818904.7257662
1589826108.250954,1589818909.284486,1589818909.284486,0.0,1589818909.8102188
1589826113.3519828,1589818914.3907468,1589818914.3907468,100.0,1589818914.8843422
1589826118.4517658,1589818919.4824867,1589818919.4824867,0.0,1589818919.961694
1589826123.5559685,1589818924.5950668,1589818924.5950668,100.0,1589818925.038878
1589826128.6586707,1589818929.7053468,1589818929.7053468,0.0,1589818930.119328
1589826133.7442951,1589818934.779765,1589818934.779765,100.0,1589818935.1963727
1589826138.8426063,1589818939.879693,1589818939.879693,0.0,1589818940.27138
1589826143.9456074,1589818944.9864922,1589818944.9864922,100.0,1589818945.35063
1589826149.0406067,1589818950.0793087,1589818950.0793087,0.0,1589818950.424914
1589826154.1386073,1589818955.1817741,1589818955.1817741,100.0,1589818955.503958
1589826159.2386074,1589818960.277923,1589818960.277923,0.0,1589818960.5827177
1589826164.3421159,1589818965.3918462,1589818965.3918462,100.0,1589818965.660051
1589826169.4417455,1589818970.4795587,1589818970.4795587,0.0,1589818970.742595
1589826174.5484192,1589818975.5809987,1589818975.5809987,100.0,1589818975.826399
1589826179.6532931,1589818980.693565,1589818980.693565,0.0,1589818980.9040358
1589826184.750112,1589818985.78675,1589818985.78675,100.0,1589818985.98965
1589826189.854251,1589818990.894424,1589818990.894424,0.0,1589818991.0727448
1589826194.9454787,1589818995.985648,1589818995.985648,100.0,1589818996.1457708
1589826200.0423462,1589819001.0810843,1589819001.0810843,0.0,1589819001.2326043
1589826205.129904,1589819006.165586,1589819006.165586,100.0,1589819006.308598
1589826210.2264364,1589819011.277049,1589819011.277049,0.0,1589819011.3868387
1589826215.3213713,1589819016.3680382,1589819016.3680382,100.0,1589819016.4705958
1589826220.4118822,1589819021.4571662,1589819021.4571662,0.0,1589819021.551451
1589826225.513882,1589819026.5537639,1589819026.5537639,100.0,1589819026.638941
1589826230.6288812,1589819031.666774,1589819031.666774,0.0,1589819032.2179458
1589826235.729883,1589819036.7693737,1589819036.7693737,100.0,1589819037.303735
1589826240.8338828,1589819041.873862,1589819041.873862,0.0,1589819042.3810725
1589826245.9363906,1589819046.9790413,1589819046.9790413,100.0,1589819047.462745
1589826251.0414596,1589819052.076747,1589819052.076747,0.0,1589819052.545916
1589826256.1481836,1589819057.188544,1589819057.188544,100.0,1589819057.6244268
1589826261.2537017,1589819062.2908998,1589819062.2908998,0.0,1589819062.706018
1589826266.352963,1589819067.391215,1589819067.391215,100.0,1589819067.788868
1589826271.4539073,1589819072.4934297,1589819072.4934297,0.0,1589819072.8670988
1589826276.5716655,1589819077.625575,1589819077.625575,100.0,1589819077.9460146
1589826281.6624455,1589819082.705887,1589819082.705887,0.0,1589819083.027584
1589826286.7753499,1589819087.8237379,1589819087.8237379,100.0,1589819088.111916
1589826291.8834796,1589819092.925707,1589819092.925707,0.0,1589819093.185053
1589826296.9832463,1589819098.022233,1589819098.022233,100.0,1589819098.2676167
1589826302.0861483,1589819103.130434,1589819103.130434,0.0,1589819103.348205
1589826307.199147,1589819108.242646,1589819108.242646,100.0,1589819108.4282467
1589826312.3011491,1589819113.343876,1589819113.343876,0.0,1589819113.504187
1589826317.406148,1589819118.4499652,1589819118.4499652,100.0,1589819118.5776339
1589826322.505147,1589819123.547456,1589819123.547456,0.0,1589819123.658061
1589826327.6059487,1589819128.6520894,1589819128.6520894,100.0,1589819128.7358696
1589826332.7108662,1589819133.7464359,1589819133.7464359,0.0,1589819134.323857
1589826337.8027549,1589819138.84568,1589819138.84568,100.0,1589819139.399487
1589826342.9093306,1589819143.955558,1589819143.955558,0.0,1589819144.475841
1589826348.0151217,1589819149.0560067,1589819149.0560067,100.0,1589819149.5533907
1589826353.1215582,1589819154.165045,1589819154.165045,0.0,1589819154.6297069
1589826358.2199667,1589819159.2670476,1589819159.2670476,100.0,1589819159.714441
1589826363.3229089,1589819164.364883,1589819164.364883,0.0,1589819164.787179
1589826368.4177623,1589819169.4877927,1589819169.4877927,100.0,1589819169.8699548
1589826373.5176365,1589819174.558854,1589819174.558854,0.0,1589819174.942427
1589826378.6335232,1589819179.6904109,1589819179.6904109,100.0,1589819180.028264
1589826383.726523,1589819184.768399,1589819184.768399,0.0,1589819185.103959
1589826388.8335233,1589819189.87706,1589819189.87706,100.0,1589819190.1785958
1589826393.9345236,1589819194.9864728,1589819194.9864728,0.0,1589819195.2580588
1589826399.0355222,1589819200.080584,1589819200.080584,100.0,1589819200.33578
1589826404.1385245,1589819205.187921,1589819205.187921,0.0,1589819205.415008
1589826409.2389276,1589819210.2795527,1589819210.2795527,100.0,1589819210.499052
1589826414.3382077,1589819215.37944,1589819215.37944,0.0,1589819215.5717618
1589826419.4385939,1589819220.483941,1589819220.483941,100.0,1589819220.653683
1589826424.543594,1589819225.6052198,1589819225.6052198,0.0,1589819225.7310188
1589826429.6438673,1589819230.69785,1589819230.69785,100.0,1589819230.807698
1589826434.759766,1589819235.803012,1589819235.803012,0.0,1589819235.886933
1589826439.862994,1589819240.9065928,1589819240.9065928,100.0,1589819241.4738178
1589826444.9678595,1589819246.0377507,1589819246.0377507,0.0,1589819246.5468442
1589826450.07886,1589819251.1247587,1589819251.1247587,100.0,1589819251.622399
1589826455.1828594,1589819256.2305138,1589819256.2305138,0.0,1589819256.7033134
1589826460.2828598,1589819261.3240573,1589819261.3240573,100.0,1589819261.7790968
1589826465.374858,1589819266.42172,1589819266.42172,0.0,1589819266.8614447
1589826470.4698591,1589819271.5107558,1589819271.5107558,100.0,1589819271.939437
1589826475.5698595,1589819276.608973,1589819276.608973,0.0,1589819277.012789
1589826480.669858,1589819281.7210119,1589819281.7210119,100.0,1589819282.098752
1589826485.7679324,1589819286.813067,1589819286.813067,0.0,1589819287.1677608
1589826490.8573842,1589819291.900326,1589819291.900326,100.0,1589819292.2488368
1589826495.948082,1589819296.9884,1589819296.9884,0.0,1589819297.324992
1589826501.049767,1589819302.095102,1589819302.095102,100.0,1589819302.401798
1589826506.1561275,1589819307.19956,1589819307.19956,0.0,1589819307.47864
1589826511.2538402,1589819312.302617,1589819312.302617,100.0,1589819312.5578
1589826516.3523057,1589819317.4000268,1589819317.4000268,0.0,1589819317.63344
1589826521.4369452,1589819322.4797502,1589819322.4797502,100.0,1589819322.713649
1589826526.53355,1589819327.575612,1589819327.575612,0.0,1589819327.78479
1589826531.6283677,1589819332.6692429,1589819332.6692429,100.0,1589819332.86409
1589826536.7273962,1589819337.7679207,1589819337.7679207,0.0,1589819337.944731
1589826541.8274236,1589819342.869425,1589819342.869425,100.0,1589819343.020925
1589826546.9249015,1589819347.9723902,1589819347.9723902,0.0,1589819348.101017
1589826552.0212388,1589819353.0660782,1589819353.0660782,100.0,1589819353.174951
1589826557.12368,1589819358.1718729,1589819358.1718729,0.0,1589819358.2554438
1589826562.218706,1589819363.2642477,1589819363.2642477,100.0,1589819363.8357308
1589826567.3261604,1589819368.3848348,1589819368.3848348,0.0,1589819368.913393
1589826572.418133,1589819373.480598,1589819373.480598,100.0,1589819373.996895
1589826577.5171325,1589819378.5646467,1589819378.5646467,0.0,1589819379.0763807
